reviews,cleaned_reviews
Very good Nd fresh product fresh,good fresh produce fresh
Excellent experience with dfresh,excellent experience refresh
smaller in size over all great,smaller size great
Fresh vegetables... Thnk you,fresh vegetables thank
"It was good, upto the mark.",good upto mark
good very expensive ,good expensive
very good product ,good product
fresh and premium,fresh premium
Very bad quality ,bad quality
fresh as always,fresh always
fresh as always,fresh always
Fresh items on ,fresh items
Fresh and Best,fresh best
Good product ,good product
best product ,best product
Good quality ,good quality
Good quality,good quality
not fresh,fresh
Fresh. ,fresh
Fresh,fresh
fresh,fresh
same as shown in picture. nice product. highly recommend. packing was a bit poor. they rapped it in a cling foil,shown picture nice products highly recommend packing bit poor wrapped cling foil
Same as shown in picture totally loved it will shop again inshallah☺,shown pictures totally loved show inshallah
"shipping on time.i order red,black and white stripe baby floor seat but receive different .also very small in size.my 4month baby fit very difficult on it.",shipping time order red black white striped baby floor seats receive different also small size 4month baby fit difficult
"Good material,buhat zaberdast item hai.but send me wrong color 😑",good material zaberdast item send wrong color
Same as shown in the picture satisfied thank you daraz recommended saller,shown picture satisfied thank daraz recommended seller
beautiful and comfortable,beautiful comfortable
quality is superb with reasonable price satisfied,quality superb reasonable price satisfied
Product is good 👍 for 8 Month old kid,product good 8 month old kid
Material is good but not good for baby of any age because baby will get too much tired. Seat posture should be relaxing.,material good good babies age baby get much tired seat posture relaxing
i ordered red and black with white strip and they send me red and brown totally unfair.. not recommended,I ordered red black white strip send red brown totally unfair recommended
product is not as shown in picture. i received pink and brown color but i had ordered black and red. packing b theek nai thi jis ki waja sy item deshape ho gai hy.. ,product shown pictures received pink brown color ordered black red packing three nai thi jis ski waja item described gai
"GOOD QUALITY SAME AS SHOWN IN PICTURE
VERY COMFORTABLE ONTIME DELIVERY 
THANKS SELLER & DARAZ",good quality shown picture comfortable noontime delivery thanks seller daraz
Too small in size for 4 months baby boy n uncomfortable ... Size should be mentioned,small size 4 months baby boy uncomfortable size mentioned
"Pathetic Service
I order 2 pieces and they delever only 1 piece and charge for 2",pathetic service order 2 pieces deliver 1 piece charge 2
fantastic really nice stuff and my baby enjoy a lot thank you,fantastic really nice stuff baby enjoy lot thank
"nice product, exactly same as shown n delivered on time",nice products exactly shown delivered time
Both seats are of good quality worth buying. ,seats good quality worth buying
"same as recommend, gud quality & stuff,.. ",recommend good quality stuff
Good quality product our kid loves it.,good quality product kid loves
Same as picture... Recommended,picture recommended
"seller has displayed picture of instant porridge but sent raw porridge neither shown in picture nor description, useless, returned",seller displayed pictures instant porridge sent raw porridge neither shown picture description useless returned
Very good seller and best product. ,good seller best product
pure product delivery in time,pure product delivery time
It's two weeks I ordered this but it's still fresh.Very good.,two weeks ordered still fresh good
This is my first time buying  red bell peppers so I guess by the size they must be great on the inside too,first time buying red bell peppers guess size must great inside
"Very fresh veggies regular customer of.daraz day fresh very happy and satisfied thc.daraz
",fresh veggies regular customers daraz day fresh happy satisfied daraz
Marvellous vegetables medium in size I liked it very much,marvellous vegetables medium size I liked much
A pretty expensive product but the picture shows bright red and what I got was brownish nothing of red bell pepper . Very disappointed from Daraz  ,pretty expensive product picture shows bright red I got brownish nothing red bell pepper disappointed daraz
I ordered fruits and vegetables two days ago. I received the order but of a very low standard. Mr Wahab delivered the order. Kiwi are all stale Oranges ordered were not red blood and very expensive Rs 425 per dozen. I think some one else is using your name. The delivery was in plastic bags and a dirty plastic boree. Totally disappointed ,I ordered fruits vegetables two days ago received order low standard wahab delivered order kiwi staple oranges ordered red blood expensive 425 per dozen think one else using name delivery plastic bags dirty plastic bore totally disappointed
"Just as described, thank you!",described thank
Good quality and fresh ,good quality fresh
super fresh as always,super fresh always
recieved really fresh,received really fresh
Super fresh and yummy,super fresh yummy
I love the pepper,I love pepper
cheap message,cheap message
Train quality is perfect in this price bracket.. 👌👌,train quality perfect price bracket
Delivery was quick but packing was not Upto the mark. Anyways nice experience from the seller. ,delivery quick packing upto mark anyways nice experience seller
Received within estimated delivery timeline in a safe packaging. Product is original and got it in less than market price. Habib oil is the name of quality.,received within estimated delivery timeline safe packaging product original got less market price cabin oil name quality
Delivery was quick but packing was not upto the mark. Anyways nice experience from the seller.,delivery quick packing upto mark anyways nice experience seller
All okay. No problem at all. I purchased it for 1215 and received free home shipping also.,okay problem I purchased 1215 received free home shipping also
very good quality oil fast shipping great service,good quality oil fast shipping great service
"Arrived in perfect condition, original product , good packaging.
Thanks dMart!",arrived perfect condition original product good packaging thanks smart
Purchased 2 packs in 12 12 sales with delivery charges free and payment discount on Rs 1040/- each. Received original and in fresh expire.. Thanku Daraz.,purchased 2 packs 12 12 sales delivery charges free payment discount 1040 received original fresh expire thanks data
"Good quality, original products but the main thing i that i still haven't received my cashback 🙁, hope DARAZ will do it asap.",good quality original products main thing still received cashback hope data asap
"Amazingly Fast Shiping, order yesterday 13th December and recieved delivery today afternoon 14th december.
Safe packaging, fresh stock.
Mfg date : 7-October 2020
Use with in 12 months. Till 7th December 2021.
Thanks Habib Oils
Thanks Daraz",amazingly fast shipping order yesterday 13th december received delivery today afternoon 14th december safe packaging fresh stock mpg date 7 october 2020 use 12 months 7th december 2021 thanks habit oils thanks data
Habib cooking oil is best for healthy life.Use habib cooking oil and enjoy beutiful life.kiuke yeh DIL ka mamla hee.Daraz is best for all shopping,habit cooking oil best healthy life use habit cooking oil enjoy beautiful life like yeh dil ka mamla daraz best shopping
habib cooking oil is one of the best oil in market.best for health and fine quality also good packing.,habit cooking oil one best oil market best health fine quality also good packing
Best quality best price best packing good for health.habib cooking oil is the best.,best quality best price best packing food health habit cooking oil best
Deliver oil in safe wraping and deliver in time. I recommend to others. ,deliver oil safe wrapping deliver time recommend others
good experience but one carton leaked,good experience one cartoon leaked
Ordered Habib Cooking Oil and delivered lipsticks and nail polish....,ordered habit cooking oil delivered lipsticks nail polish
"received in two days, original product, well packing, 5 star rating",received two days original product well packing 5 star rating
Habib oil pack received according to my wish. I am surprised to receive the original product from daraz platform. This product meet my daily requirement.   I found daraz platform reliable. Recommend to every one.,habit oil pack received according wish surprised receive original product daraz platform product meets daily requirement found daraz platform reliable recommend every one
to buy Habib Cooking oil less then whole sale price is blessing these days which is only possible via Daraz. Thanks to supplier for safe delivery of oil,buy habit cooking oil less whose sale price blessing days possible via daraz thanks suppliers safe delivery oil
 very fast delivery receive next day from order. properly packed. fresh product expire is far away satisfied,fast delivery received next day order properly packed fresh products expire far away satisfied
Received in very good packing on a very discounted price and more of all delivery was free. wonderful job daraz. i appreciate 😊,received good packing discounted price delivery free wonderful job done appreciate
discounted price as compare to market. every month i ordered from daraz. allhumdulillah satisfied. with well packaging,discounted price compared market every month ordered daraz allhumdulillah satisfied well packaging
Acha ha. Packaging b thek the. Original aaya ha company ki trf se.baki delivery charges ziada hain,acha packaging original aaya ha company ski trf bike delivery charges ziada chain
Daraz mall is best option for shopping online. Original product and timely delivery service thanks,data mall best option shipping online original products timely delivery service thanks
"thanks daraz, timely received my order,
i like habib cooking oil",thanks daraz timely received order like habit cooking oil
"well packed, received in two days, low price, original product",well packed received two days low price original product
"Original Product Fast Delivery
Got in best price during 12.12",original product fast delivery got best price 12 12
"Original product.
Good quality.
Safely packed.
Recommended.",original product food quality safely packed recommended
Original product received at discounted price. Recommended,original product received discounted price recommended
Habib Cooking oil is a good product. It is a good choice. I am satisfied with the quality ,habit cooking oil good product good choice I satisfied quality
"Fast delivery ,packed very carefully,original product in discounted price,thanks Daraz ",fast delivery packed carefully original products discounted price thanks daraz
"original product i like it
delivery was fast also",original product like delivery fast also
reached same as described...loving the taste and quality...recommended product ,reached described loving taste quality recommended product
Best quality cooking oil ever orignal product,best quality cooking oil ever original product
Good Quality Oil but Pack Damage. Leakage of Pack. Need to take most safety 👍,good quality oil pack damage leakage pack need take safety
"Original product received
recommended seller",original products received recommended seller
"same as described, and got awesome discount on 11.11 sale. fresh manufactured",described got awesome discounts 11 11 sales fresh manufactured
Quality product as described. Recommended. ,quality product described recommended
"excellent product fastest shipping  original item to
recommend 100 percent",excellent product fastest shipping original item recommend 100 percent
"very good oil, orignal quality fully satisfied in low price thanks daraz",good oil original quality fully satisfied low price thanks data
delivery before time. fresh product mfg date is just 1 week before. ,delivery time fresh product mix date 1 week
"free & timely deliever, well packing. original in reasonable price",free timely delivery packing original reasonable price
original and timely reached thnx to daraz love to shopping daraz,original timely reached thanks dangerous love shopping daraz
Stock was fresh packing was good and timely delivered. ,stock fresh packing good timely delivered
"Frsh stock and cheaper than market price 👍
Recommend ",fresh stock cheaper market price recommend
very good product 👍🙂🙂,good product
Good oil and I received discount on daraz 1212 sale,good oil received discounts daraz 1212 sales
Received within a day best services by Daraz PK,received within day best services data pc
"acha oil ha.
well job done seller and daraz..,",acha oil well job done sellers daraz
"Price less than market.
Happy with purchase. ",price less market happy purchase
Frsh stock and cheaper than market price 👍 ,fresh stock cheaper market price
Frsh stock and cheaper than market price 👍 ,fresh stock cheaper market price
"Received in good packing.
Thanks daraz💯",received good packing thanks data
"Original product received. Recommended.
",original product received recommended
Excellent. received correct product in well packing. great in taste Habib,excellent received correct product well packing great taste habit
Original product received. Recommended.,original product received recommended
Thkns for daraz and very good product ,thanks data good product
Got in discounted price satisfied..,got discounted price satisfied
Bought during 12.12 and received free delivery. Happy with purchase.,bought 12 12 received free delivery happy purchase
Original product from the trusted brand at a competitive price...👍,original product trusted brand competitive price
Thanks daraz for orginal product,thanks data original product
thanks daraz well packed well delivered in excellent experience,thanks daraz well packed well delivered excellent experience
"happy customer of 
Daraz❤❤",happy customer daraz
"perfectly packed and delivered in just 2 days, satisfied ",perfectly packed delivered 2 days satisfied
Good and Fast delivery.,good fast delivery
Recomended. Satisfied ,recommended satisfied
Original thanks ,original thanks
good product ,good product
good product orignal and fast delivery,good product original fast delivery
It's good price compare to market ,good price compared market
Quality Product Highly Recommend ,quality products highly recommend
